Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves,year
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#,
17,Josh McRoberts,27,17,296,0.528,11.3,,0.642,0.415,0.132,0.038,0.057,0.358,,0.588,0.682,0.571,0.5,0.0,0.421,,0.6,0.875,,0.151,8,,0.0,,,0,0,2015
18,Justin Hamilton,24,24,289,0.415,11.2,,0.708,0.338,0.2,0.046,0.123,0.292,,0.457,0.682,0.231,0.333,0.25,0.316,,0.762,1.0,,0.031,2,,0.158,0.333,,0,0,2015
19,Shannon Brown,29,5,89,0.368,12.8,,0.632,0.421,0.0,0.053,0.158,0.368,,0.333,0.5,,0.0,0.0,0.429,,0.0,0.333,,0.158,3,,0.286,1.0,,0,0,2015
20,Zoran Dragić,25,10,62,0.409,12.7,,0.591,0.409,0.045,0.045,0.091,0.409,,0.462,0.667,0.0,0.0,0.0,0.333,,0.5,1.0,,0.045,1,,0.333,0.667,,0,0,2015
21,Andre Dawkins,23,4,22,0.167,24.3,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.167,,,1.0,,0.0,0,,0.167,0.0,,0,0,2015
1,Luol Deng,30,74,2394,0.455,13.0,,0.656,0.305,0.136,0.059,0.16,0.344,,0.513,0.67,0.446,0.205,0.378,0.344,,0.622,1.0,,0.035,26,,0.539,0.362,,1,0,2016
2,Goran Dragić,29,72,2363,0.477,11.3,,0.766,0.328,0.142,0.169,0.127,0.234,,0.527,0.666,0.387,0.426,0.459,0.312,,0.252,0.75,,0.001,1,,0.244,0.26,,0,0,2016
3,Dwyane Wade,34,74,2258,0.456,9.6,,0.963,0.295,0.23,0.179,0.259,0.037,,0.468,0.648,0.43,0.34,0.386,0.159,,0.278,0.714,,0.03,36,,0.136,0.333,,3,1,2016
4,Justise Winslow,19,78,2232,0.422,10.5,,0.749,0.392,0.175,0.039,0.145,0.251,,0.471,0.575,0.383,0.278,0.358,0.276,,0.589,0.969,,0.045,19,,0.716,0.277,,2,0,2016
5,Hassan Whiteside,26,73,2125,0.606,4.7,,1.0,0.503,0.317,0.104,0.075,0.0,,0.606,0.773,0.435,0.437,0.431,,,0.659,,,0.224,148,,,,,0,0,2016
6,Chris Bosh,31,53,1778,0.467,14.5,,0.711,0.206,0.086,0.149,0.27,0.289,,0.508,0.715,0.364,0.456,0.425,0.365,,0.606,0.975,,0.034,25,,0.257,0.386,,0,0,2016
7,Gerald Green,30,69,1557,0.392,16.8,,0.557,0.148,0.075,0.135,0.199,0.443,,0.446,0.586,0.318,0.494,0.359,0.323,,0.527,0.929,,0.046,22,,0.335,0.333,,1,0,2016
8,Josh Richardson,22,52,1107,0.452,14.9,,0.577,0.228,0.107,0.11,0.132,0.423,,0.446,0.613,0.31,0.267,0.417,0.461,,0.414,0.962,,0.055,14,,0.348,0.55,,0,0,2016
9,Tyler Johnson,23,36,863,0.486,13.0,,0.708,0.329,0.111,0.07,0.198,0.292,,0.529,0.625,0.407,0.529,0.438,0.38,,0.462,0.963,,0.045,6,,0.31,0.545,,3,0,2016
10,Joe Johnson,34,24,769,0.518,14.2,,0.665,0.104,0.279,0.155,0.127,0.335,,0.569,0.615,0.571,0.59,0.5,0.417,,0.147,0.857,,0.0,0,,0.5,0.405,,1,0,2016
