Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves,year
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#,
7,Festus Ezeli,23,78,1120,0.438,4.6,,1.0,0.538,0.325,0.095,0.041,0.0,,0.438,0.582,0.327,0.063,0.286,,,0.581,,,0.272,39,,,,,0,0,2013
8,Draymond Green,22,79,1061,0.327,14.1,,0.739,0.272,0.132,0.093,0.241,0.261,,0.368,0.586,0.176,0.208,0.29,0.209,,0.586,1.0,,0.023,6,,0.313,0.333,,3,0,2013
9,Andrew Bogut,28,32,786,0.451,4.7,,0.995,0.495,0.435,0.043,0.022,0.005,,0.448,0.582,0.313,0.25,0.5,1.0,,0.61,1.0,,0.114,17,,0.0,,,0,0,2013
10,Richard Jefferson,32,56,568,0.456,13.5,,0.669,0.279,0.184,0.081,0.125,0.331,,0.527,0.737,0.32,0.455,0.412,0.311,,0.563,0.929,,0.096,10,,0.422,0.474,,1,0,2013
11,Andris Biedriņš,26,53,495,0.476,2.9,,1.0,0.714,0.286,0.0,0.0,0.0,,0.476,0.533,0.333,,,,,0.8,,,0.095,2,,,,,0,0,2013
12,Charles Jenkins,23,47,291,0.422,15.6,,0.976,0.108,0.133,0.06,0.675,0.024,,0.42,0.667,0.091,0.2,0.464,0.5,,0.676,1.0,,0.0,0,,0.5,1.0,,0,0,2013
13,Kent Bazemore,23,61,267,0.371,16.3,,0.707,0.198,0.06,0.103,0.345,0.293,,0.402,0.565,0.286,0.333,0.35,0.294,,0.242,0.5,,0.017,2,,0.265,0.333,,1,0,2013
14,Jeremy Tyler,21,20,63,0.375,8.4,,1.0,0.333,0.292,0.083,0.292,0.0,,0.375,0.375,0.429,0.5,0.286,,,0.556,,,0.125,3,,,,,0,0,2013
15,Brandon Rush,27,2,25,0.667,11.2,,0.778,0.444,0.111,0.111,0.111,0.222,,0.857,1.0,0.0,1.0,1.0,0.0,,0.167,,,0.111,1,,0.0,,,0,0,2013
16,Malcolm Thomas,24,5,21,0.0,8.6,,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,0,,,,,0,0,2013
1,Klay Thompson,23,81,2868,0.444,17.2,,0.575,0.135,0.088,0.15,0.202,0.425,,0.464,0.641,0.378,0.376,0.449,0.417,,0.622,0.946,,0.01,11,,0.31,0.458,,3,0,2014
2,Stephen Curry,25,78,2846,0.471,18.1,,0.555,0.139,0.095,0.077,0.245,0.445,,0.509,0.625,0.412,0.557,0.466,0.424,,0.197,0.456,,0.004,4,,0.115,0.437,,5,0,2014
3,David Lee,30,69,2288,0.523,5.7,,0.999,0.466,0.355,0.078,0.1,0.001,,0.523,0.67,0.408,0.39,0.357,0.0,,0.682,,,0.075,70,,0.0,,,0,0,2014
4,Harrison Barnes,21,78,2204,0.399,12.9,,0.72,0.224,0.225,0.138,0.131,0.28,,0.419,0.592,0.386,0.255,0.36,0.347,,0.493,0.97,,0.056,37,,0.4,0.355,,0,0,2014
5,Andre Iguodala,30,63,2040,0.48,14.2,,0.618,0.301,0.1,0.087,0.129,0.382,,0.558,0.725,0.348,0.425,0.424,0.354,,0.506,0.887,,0.131,58,,0.394,0.391,,1,0,2014
6,Draymond Green,23,82,1797,0.407,13.8,,0.641,0.307,0.139,0.061,0.133,0.359,,0.449,0.596,0.25,0.214,0.426,0.333,,0.636,0.945,,0.054,24,,0.212,0.4,,3,0,2014
7,Andrew Bogut,29,67,1769,0.627,3.1,,1.0,0.696,0.253,0.032,0.019,0.0,,0.627,0.697,0.442,0.583,0.571,,,0.715,,,0.259,91,,,,,0,0,2014
8,Marreese Speights,26,79,982,0.441,10.4,,0.93,0.342,0.195,0.095,0.299,0.07,,0.455,0.609,0.419,0.357,0.333,0.258,,0.663,1.0,,0.063,26,,0.129,0.0,,0,0,2014
9,Jermaine O'Neal,35,44,883,0.504,5.8,,1.0,0.379,0.448,0.133,0.04,0.0,,0.504,0.691,0.387,0.424,0.3,,,0.592,,,0.113,28,,,,,0,0,2014
10,Jordan Crawford,25,42,661,0.417,16.7,,0.616,0.117,0.177,0.147,0.174,0.384,,0.483,0.692,0.475,0.51,0.328,0.313,,0.273,0.725,,0.015,5,,0.164,0.381,,2,0,2014
